Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
38, HS-grad,9, Divorced, Not-in-family, Male,0,40
53, 11th,7, Married-civ-spouse, Husband, Male,0,40
28, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
37, Masters,14, Married-civ-spouse, Wife, Female,0,40
49, 9th,5, Married-spouse-absent, Not-in-family, Female,0,16
31, Masters,14, Never-married, Not-in-family, Female,14084,50
42, Bachelors,13, Married-civ-spouse, Husband, Male,5178,40
37, Some-college,10, Married-civ-spouse, Husband, Male,0,80
23, Bachelors,13, Never-married, Own-child, Female,0,30
32, Assoc-acdm,12, Never-married, Not-in-family, Male,0,50
40, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
34, 7th-8th,4, Married-civ-spouse, Husband, Male,0,45
32, HS-grad,9, Never-married, Unmarried, Male,0,40
38, 11th,7, Married-civ-spouse, Husband, Male,0,50
40, Doctorate,16, Married-civ-spouse, Husband, Male,0,60
54, HS-grad,9, Separated, Unmarried, Female,0,20
43, 11th,7, Married-civ-spouse, Husband, Male,0,40
59, HS-grad,9, Divorced, Unmarried, Female,0,40
19, HS-grad,9, Never-married, Own-child, Male,0,40
39, HS-grad,9, Divorced, Not-in-family, Male,0,80
49, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
20, Some-college,10, Never-married, Own-child, Male,0,44
45, Bachelors,13, Divorced, Own-child, Male,0,40
48, 11th,7, Never-married, Unmarried, Male,0,40
21, Some-college,10, Never-married, Own-child, Male,0,40
19, HS-grad,9, Married-AF-spouse, Wife, Female,0,25
31, Some-college,10, Married-civ-spouse, Husband, Male,0,38
31, 9th,5, Married-civ-spouse, Husband, Male,0,43
24, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
49, HS-grad,9, Separated, Unmarried, Female,0,40
25, HS-grad,9, Never-married, Not-in-family, Male,0,35
53, HS-grad,9, Married-civ-spouse, Husband, Male,0,38
44, Masters,14, Divorced, Unmarried, Female,0,40
29, Assoc-voc,11, Never-married, Not-in-family, Male,0,43
25, Some-college,10, Married-civ-spouse, Wife, Female,0,40
18, HS-grad,9, Never-married, Own-child, Female,0,30
47, Prof-school,15, Married-civ-spouse, Wife, Female,0,60
43, Some-college,10, Married-civ-spouse, Husband, Male,0,40
46, 5th-6th,3, Married-civ-spouse, Husband, Male,0,40
35, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
41, HS-grad,9, Married-civ-spouse, Husband, Male,0,48
30, HS-grad,9, Married-civ-spouse, Husband, Male,5013,40
30, Bachelors,13, Married-civ-spouse, Husband, Male,2407,40
48, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
42, Doctorate,16, Married-civ-spouse, Husband, Male,0,45
29, Some-college,10, Divorced, Not-in-family, Male,0,58
36, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
28, Some-college,10, Divorced, Not-in-family, Female,0,40
53, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
19, Some-college,10, Never-married, Own-child, Male,0,32
31, Bachelors,13, Separated, Own-child, Female,0,40
23, Some-college,10, Never-married, Not-in-family, Male,0,40
79, Some-college,10, Married-civ-spouse, Other-relative, Male,0,20
27, HS-grad,9, Never-married, Own-child, Male,0,40
40, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,40
18, 11th,7, Never-married, Own-child, Female,0,22
18, HS-grad,9, Never-married, Not-in-family, Male,0,30
52, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
46, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
59, HS-grad,9, Married-civ-spouse, Husband, Male,0,48
44, HS-grad,9, Divorced, Not-in-family, Female,14344,40
53, HS-grad,9, Divorced, Own-child, Female,0,35
33, Masters,14, Married-civ-spouse, Husband, Male,0,50
30, 9th,5, Never-married, Not-in-family, Male,0,40
57, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
37, Some-college,10, Divorced, Unmarried, Female,0,40
